session_id,uid,tA,tB,dt
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:57.790075Z,2025-11-10T13:07:57.503642Z,0.286433
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:57.790075Z,2025-11-10T13:07:57.955039Z,-0.164964
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.011539Z,2025-11-10T13:07:57.955039Z,0.0565
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.011539Z,2025-11-10T13:07:57.986841Z,0.024698
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.011539Z,2025-11-10T13:07:58.247604Z,-0.236065
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.226463Z,2025-11-10T13:07:58.247604Z,-0.021141
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.447990Z,2025-11-10T13:07:58.247604Z,0.200386
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.447990Z,2025-11-10T13:07:58.478061Z,-0.030071
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.717594Z,2025-11-10T13:07:58.478061Z,0.239533
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.717594Z,2025-11-10T13:07:58.728469Z,-0.010875
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.982396Z,2025-11-10T13:07:58.728469Z,0.253927
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:58.982396Z,2025-11-10T13:07:58.982794Z,-0.000398
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:59.242844Z,2025-11-10T13:07:58.982794Z,0.26005
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:59.242844Z,2025-11-10T13:07:59.252698Z,-0.009854
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:59.603715Z,2025-11-10T13:07:59.252698Z,0.351017
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:59.603715Z,2025-11-10T13:07:59.712008Z,-0.108293
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:59.807991Z,2025-11-10T13:07:59.712008Z,0.095983
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:59.807991Z,2025-11-10T13:07:59.861665Z,-0.053674
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:00.091756Z,2025-11-10T13:07:59.861665Z,0.230091
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:00.091756Z,2025-11-10T13:08:00.124426Z,-0.03267
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:00.253432Z,2025-11-10T13:08:00.124426Z,0.129006
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:00.253432Z,2025-11-10T13:08:00.217352Z,0.03608
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:00.253432Z,2025-11-10T13:08:00.626038Z,-0.372606
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:00.569989Z,2025-11-10T13:08:00.626038Z,-0.056049
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:00.701955Z,2025-11-10T13:08:00.626038Z,0.075917
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:00.701955Z,2025-11-10T13:08:00.725567Z,-0.023612
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:01.000212Z,2025-11-10T13:08:00.725567Z,0.274645
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:01.000212Z,2025-11-10T13:08:01.018700Z,-0.018488
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:01.217859Z,2025-11-10T13:08:01.018700Z,0.199159
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:01.217859Z,2025-11-10T13:08:01.271815Z,-0.053956
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:01.477924Z,2025-11-10T13:08:01.271815Z,0.206109
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:01.477924Z,2025-11-10T13:08:01.504278Z,-0.026354
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:01.748217Z,2025-11-10T13:08:01.504278Z,0.243939
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:01.748217Z,2025-11-10T13:08:01.749499Z,-0.001282
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:02.009323Z,2025-11-10T13:08:01.749499Z,0.259824
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:02.009323Z,2025-11-10T13:08:01.980621Z,0.028702
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:02.009323Z,2025-11-10T13:08:02.422498Z,-0.413175
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:02.469788Z,2025-11-10T13:08:02.422498Z,0.04729
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:02.469788Z,2025-11-10T13:08:02.471679Z,-0.001891
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:02.731893Z,2025-11-10T13:08:02.471679Z,0.260214
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:02.731893Z,2025-11-10T13:08:02.759878Z,-0.027985
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:02.992694Z,2025-11-10T13:08:02.759878Z,0.232816
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:02.992694Z,2025-11-10T13:08:03.021884Z,-0.02919
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:08:03.236932Z,2025-11-10T13:08:03.021884Z,0.215048
